Store Name,SKU,Product Name,Opening Stock,Movement History,Expected Stock,Current Stock (DB),Discrepancy
สาขา0003,SKU-889591-rbkzp,เสื้อเชิ้ตฮาวาย คละแบบ,0,-20,-20,-4,16
สาขา0003,SKU-601551-rgz2e,ชุดเดรสยาวแฟชั่น,0,84,84,101,17
สาขา0003,SKU-889591-j1663,กระดานโต้คลื่น 17 นิ้ว,0,-551,-551,-531,20
สาขา0003,SKU-889591-cnr64,ชุดเดรสแฟชั่น คละแบบ,0,-47,-47,-26,21
สาขา0003,SKU-889591-dix01,กางเกงขาสั้น แฟชั่น,0,-53,-53,-32,21
สาขา0003,SKU-889591-tii1w,ฟุตบอล,0,-69,-69,-48,21
สาขา0003,SKU-601551-ky6xc,เสื้อลายช้าง,0,-23,-23,0,23
สาขา0003,SKU-889591-kdrqm,ชุดเดรสสั้น,0,-27,-27,-4,23
สาขา0003,SKU-889591-ugbf2,ชุดว่ายน้ำ คละแบบ,0,55,55,79,24
สาขา0003,SKU-889591-s1w38,ลูกบอลเป่าลม คละแบบ,0,-24,-24,0,24
สาขา0003,SKU-889591-4rhmr,กางเกงขาสั้น คละแบบ (หญิง),0,-26,-26,-2,24
สาขา0003,SKU-889591-xgfee,กระโปรงแฟชั่น คละแบบ,0,-34,-34,-8,26
สาขา0003,SKU-889591-6bsgk,ชุดเดรสยาว คละสี,0,-70,-70,-34,36
สาขา0003,SKU-889591-yy000,กระเป๋ากันน้ำขนาด 1.5 ลิตร,0,-68,-68,-31,37
สาขา0003,SKU-889591-l9q7r,ผ้าขนหนู คละแบบ,0,-53,-53,-15,38
สาขา0003,SKU-889591-2fp6y,ไม้บีชบอล,0,-38,-38,0,38
สาขา0003,SKU-889591-tfosx,ของเล่น คละแบบ,0,117,117,174,57
สาขา0003,SKU-889591-pzgzs,สน๊อกเกิ้ลดำน้ำผู้ใหญ่ คละแบบ,0,-131,-131,-64,67
สาขา0003,SKU-889591-f7q01,ที่อุดหู อุดจมูก,0,-72,-72,0,72
สาขา0003,SKU-889591-ebd3l,ของเล่นใต้น้ำ,0,88,88,178,90
สาขา0003,SKU-889591-9h7yn,สน๊อกเกิ้ลดำน้ำเด็ก คละแบบ,0,-177,-177,-79,98
สาขา0003,SKU-889591-3mm9k,แว่นตาว่ายน้ำ คละแบบ,0,-60,-60,48,108
สาขา0003,SKU-889591-bytqs,ซองกันน้ำ คละแบบ,0,-234,-234,-102,132
สาขา0003,SKU-889591-ew05l,ตีนกบ คละแบบ,0,-77,-77,86,163
สาขา0003,SKU-889591-8p64s,ผ้าชายหาดทอลาย คละแบบ,0,561,561,740,179
สาขา0003,SKU-889591-f1nt4,กระเป๋ากันน้ำขนาด 20 ลิตร,0,-345,-345,-166,179
สาขา0003,SKU-889591-4pn16,กระดานโต้คลื่น 26 นิ้ว,0,-803,-803,-621,182
สาขา0003,SKU-889591-dhpob,รองเท้าชายหาดผู้ใหญ่ คละแบบ,0,-300,-300,-85,215
สาขา0003,SKU-889591-4c7k5,ห่วงยางเป่าลมเด็กแฟนซี คละแบบ,0,-488,-488,-246,242
สาขา0003,SKU-889591-3n0y7,สน๊อกเกิ้ลดำน้ำ 595,0,-315,-315,-60,255
สาขา0003,SKU-889591-osay9,แว่นตาว่ายน้ำเด็ก 5031,0,-409,-409,-128,281
สาขา0003,SKU-889591-megh8,สน๊อกเกิ้ลดำน้ำ 658,0,-203,-203,83,286
สาขา0003,SKU-889591-5myie,กระเป๋ากันน้ำขนาด 25 ลิตร,0,-470,-470,-179,291
สาขา0003,SKU-889591-4ajwv,กระเป๋ากันน้ำขนาด 15 ลิตร,0,-592,-592,-285,307
สาขา0003,SKU-889591-p2sq3,สน๊อกเกิ้ลดำน้ำ 594,0,113,113,500,387
สาขา0003,SKU-889591-k7i2m,โฟมช่วยลอยน้ำพร้อมข้อต่อ 7 CM.,0,-2341,-2341,-1926,415
สาขา0003,SKU-889591-r4v6a,กระเป๋ากันน้ำขนาด 3 ลิตร,0,-757,-757,-304,453
สาขา0003,SKU-889591-ugf30,จานร่อน,0,-1024,-1024,-547,477
สาขา0003,SKU-889591-loap6,กระเป๋ากันน้ำขนาด 5 ลิตร,0,-789,-789,-311,478
สาขา0003,SKU-889591-ovxot,กระเป๋ากันน้ำขนาด 10 ลิตร,0,-772,-772,-280,492
สาขา0003,SKU-889591-154go,แพยางเป่าลมแฟนซี คละแบบ,0,544,544,1092,548
สาขา0003,SKU-889591-59ypf,ห่วงยางเป่าลมแฟนซี คละแบบ,0,524,524,1095,571
สาขา0003,SKU-601551-mt6ah,แว่นตาว่ายน้ำ PVC คละแบบ,0,-860,-860,-251,609
สาขา0003,SKU-889591-kxqqg,แว่นตาว่ายน้ำผู้ใหญ่ 8025-UV,0,-1056,-1056,-339,717
สาขา0003,SKU-889591-3oa5n,แว่นตาว่ายน้ำผู้ใหญ่ 8016-UV,0,-1080,-1080,-353,727
สาขา0003,SKU-889591-to2e5,หน้ากากดำน้ำ คละแบบ,0,-1462,-1462,-639,823
สาขา0003,SKU-889591-7rd2o,แว่นตาว่ายน้ำผู้ใหญ่ 8016,0,110,110,1158,1048
สาขา0003,SKU-889591-vt30v,สน๊อกเกิ้ลดำน้ำ 250,0,15,15,1744,1729
