Store Name,SKU,Product Name,Current Stock (DB),Calculated (History),Discrepancy
สาขา0003,SKU-889591-kdrqm,ชุดเดรสสั้น,-4,-27,23
สาขา0003,SKU-889591-ugbf2,ชุดว่ายน้ำ คละแบบ,79,55,24
สาขา0003,SKU-889591-s1w38,ลูกบอลเป่าลม คละแบบ,0,-24,24
สาขา0003,SKU-889591-4rhmr,กางเกงขาสั้น คละแบบ (หญิง),-2,-26,24
สาขา0003,SKU-889591-xgfee,กระโปรงแฟชั่น คละแบบ,-8,-34,26
สาขา0003,SKU-889591-6bsgk,ชุดเดรสยาว คละสี,-34,-70,36
สาขา0003,SKU-889591-yy000,กระเป๋ากันน้ำขนาด 1.5 ลิตร,-31,-68,37
สาขา0003,SKU-889591-l9q7r,ผ้าขนหนู คละแบบ,-15,-53,38
สาขา0003,SKU-889591-2fp6y,ไม้บีชบอล,0,-38,38
สาขา0003,SKU-889591-tfosx,ของเล่น คละแบบ,174,117,57
สาขา0003,SKU-889591-pzgzs,สน๊อกเกิ้ลดำน้ำผู้ใหญ่ คละแบบ,-64,-131,67
สาขา0003,SKU-889591-f7q01,ที่อุดหู อุดจมูก,0,-72,72
สาขา0003,SKU-889591-ebd3l,ของเล่นใต้น้ำ,178,88,90
สาขา0003,SKU-889591-9h7yn,สน๊อกเกิ้ลดำน้ำเด็ก คละแบบ,-79,-177,98
สาขา0003,SKU-889591-3mm9k,แว่นตาว่ายน้ำ คละแบบ,48,-60,108
สาขา0003,SKU-889591-bytqs,ซองกันน้ำ คละแบบ,-102,-234,132
สาขา0003,SKU-889591-ew05l,ตีนกบ คละแบบ,86,-77,163
สาขา0003,SKU-889591-8p64s,ผ้าชายหาดทอลาย คละแบบ,740,561,179
สาขา0003,SKU-889591-f1nt4,กระเป๋ากันน้ำขนาด 20 ลิตร,-166,-345,179
สาขา0003,SKU-889591-4pn16,กระดานโต้คลื่น 26 นิ้ว,-621,-803,182
สาขา0003,SKU-889591-dhpob,รองเท้าชายหาดผู้ใหญ่ คละแบบ,-85,-300,215
สาขา0003,SKU-889591-4c7k5,ห่วงยางเป่าลมเด็กแฟนซี คละแบบ,-246,-488,242
สาขา0003,SKU-889591-3n0y7,สน๊อกเกิ้ลดำน้ำ 595,-60,-315,255
สาขา0003,SKU-889591-osay9,แว่นตาว่ายน้ำเด็ก 5031,-128,-409,281
สาขา0003,SKU-889591-megh8,สน๊อกเกิ้ลดำน้ำ 658,83,-203,286
สาขา0003,SKU-889591-5myie,กระเป๋ากันน้ำขนาด 25 ลิตร,-179,-470,291
สาขา0003,SKU-889591-4ajwv,กระเป๋ากันน้ำขนาด 15 ลิตร,-285,-592,307
สาขา0003,SKU-889591-p2sq3,สน๊อกเกิ้ลดำน้ำ 594,500,113,387
สาขา0003,SKU-889591-k7i2m,โฟมช่วยลอยน้ำพร้อมข้อต่อ 7 CM.,-1926,-2341,415
สาขา0003,SKU-889591-r4v6a,กระเป๋ากันน้ำขนาด 3 ลิตร,-304,-757,453
สาขา0003,SKU-889591-ugf30,จานร่อน,-547,-1024,477
สาขา0003,SKU-889591-loap6,กระเป๋ากันน้ำขนาด 5 ลิตร,-311,-789,478
สาขา0003,SKU-889591-ovxot,กระเป๋ากันน้ำขนาด 10 ลิตร,-280,-772,492
สาขา0003,SKU-889591-154go,แพยางเป่าลมแฟนซี คละแบบ,1092,544,548
สาขา0003,SKU-889591-59ypf,ห่วงยางเป่าลมแฟนซี คละแบบ,1095,524,571
สาขา0003,SKU-601551-mt6ah,แว่นตาว่ายน้ำ PVC คละแบบ,-251,-860,609
สาขา0003,SKU-889591-kxqqg,แว่นตาว่ายน้ำผู้ใหญ่ 8025-UV,-339,-1056,717
สาขา0003,SKU-889591-3oa5n,แว่นตาว่ายน้ำผู้ใหญ่ 8016-UV,-353,-1080,727
สาขา0003,SKU-889591-to2e5,หน้ากากดำน้ำ คละแบบ,-639,-1462,823
สาขา0003,SKU-889591-7rd2o,แว่นตาว่ายน้ำผู้ใหญ่ 8016,1158,110,1048
สาขา0003,SKU-889591-vt30v,สน๊อกเกิ้ลดำน้ำ 250,1744,15,1729
